,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,SHARE TYPE,PUT_CALL,INVESTMENT_DISCRETION,DATE_STRING
0,ABERCROMBIE & FITCH CO,CL A,002896207,8853000,204700,SH, ,DFND,2014-06-30
1,ACADIA HEALTHCARE COMPANY IN,COM,00404A109,4946000,108700,SH, ,DFND,2014-06-30
2,ACADIA PHARMACEUTICALS INC,COM,004225108,24442000,1082000,SH, ,DFND,2014-06-30
3,ACCO BRANDS CORP,COM,00081T108,8974000,1400000,SH, ,DFND,2014-06-30
4,ACCURAY INC,COM,004397105,9054000,1028900,SH, ,DFND,2014-06-30
5,ACHILLION PHARMACEUTICALS IN,COM,00448Q201,4142000,547200,SH, ,DFND,2014-06-30
6,ACORDA THERAPEUTICS INC,COM,00484M106,20752000,615600,SH, ,DFND,2014-06-30
7,ACTAVIS PLC,SHS,G0083B108,5576000,25000,SH, ,DFND,2014-06-30
8,ACTIVISION BLIZZARD INC,COM,00507V109,11353000,509100,SH, ,DFND,2014-06-30
9,ACUITY BRANDS INC,COM,00508Y102,5309000,38400,SH, ,DFND,2014-06-30
10,ADOBE SYS INC,COM,00724F101,166000,2300,SH, ,DFND,2014-06-30
11,ADTRAN INC,COM,00738A106,1142000,50600,SH, ,DFND,2014-06-30
12,ADVANCE AUTO PARTS INC,COM,00751Y106,59554000,441400,SH, ,DFND,2014-06-30
13,ADVANCED ENERGY INDS,COM,007973100,27993000,1454200,SH, ,DFND,2014-06-30
14,AEGERION PHARMACEUTICALS INC,COM,00767E102,29642000,923700,SH, ,DFND,2014-06-30
15,AETNA INC NEW,COM,00817Y108,3357000,41400,SH, ,DFND,2014-06-30
16,AFFILIATED MANAGERS GROUP,COM,008252108,6203000,30200,SH, ,DFND,2014-06-30
17,AGIOS PHARMACEUTICALS INC,COM,00847X104,2112000,46100,SH, ,DFND,2014-06-30
18,AIR METHODS CORP,COM PAR $.06,009128307,6503000,125900,SH, ,DFND,2014-06-30
19,AIR PRODS & CHEMS INC,COM,009158106,1106000,8600,SH, ,DFND,2014-06-30
20,AK STL HLDG CORP,COM,001547108,18895000,2373800,SH, ,DFND,2014-06-30
21,AKAMAI TECHNOLOGIES INC,COM,00971T101,13690000,224200,SH, ,DFND,2014-06-30
22,ALEXION PHARMACEUTICALS INC,COM,015351109,1828000,11700,SH, ,DFND,2014-06-30
23,ALIGN TECHNOLOGY INC,COM,016255101,24478000,436800,SH, ,DFND,2014-06-30
24,ALLERGAN INC,COM,018490102,62865000,371500,SH, ,DFND,2014-06-30
25,ALLIANT TECHSYSTEMS INC,COM,018804104,45573000,340300,SH, ,DFND,2014-06-30
26,ALLISON TRANSMISSION HLDGS I,COM,01973R101,76770000,2468500,SH, ,DFND,2014-06-30
